Date,Day,Simple Cluster,Cluster,Open,High,Low,Close,O - C (D),O - H (D),O - L (D),C - O (D-1)
23/10/18,Tuesday,Crash,Crash,10152.6,10222.1,10102.35,10146.8,-0.06,0.68,-0.49,-0.90
24/10/18,Wednesday,Crash,Crash,10278.15,10290.65,10126.7,10224.75,-0.52,0.12,-1.47,1.29
25/10/18,Thursday,Choppy,Choppy,10135.05,10166.6,10079.3,10124.9,-0.10,0.31,-0.55,-0.88
26/10/18,Friday,Choppy,Choppy,10122.35,10128.85,10004.55,10030,-0.91,0.06,-1.16,-0.03
29/10/18,Monday,Rally,Rally,10078.1,10275.3,10020.35,10250.85,1.71,1.96,-0.57,0.48
30/10/18,Tuesday,Crash,Rally-Crash,10239.4,10285.1,10175.35,10198.4,-0.40,0.45,-0.63,-0.11
31/10/18,Wednesday,Rally,Crash-Rally,10209.55,10396,10105.1,10386.6,1.73,1.83,-1.02,0.11
1/11/18,Thursday,Choppy,Choppy,10441.7,10441.9,10341.9,10380.45,-0.59,0.00,-0.96,0.53
2/11/18,Friday,Rally,Rally,10462.3,10606.95,10457.7,10553,0.87,1.38,-0.04,0.79
5/11/18,Monday,Choppy,Choppy,10558.75,10558.8,10477,10524,-0.33,0.00,-0.77,0.05
6/11/18,Tuesday,Crash,Crash,10552,10600.25,10491.45,10530,-0.21,0.46,-0.57,0.27
9/11/18,Friday,Rally,Rally,10614.7,10619.55,10544.85,10585.2,-0.28,0.05,-0.66,0.80
12/11/18,Monday,Crash,Crash,10607.8,10645.5,10464.05,10482.2,-1.18,0.36,-1.36,0.21
13/11/18,Tuesday,Rally,Rally,10451.9,10596.25,10440.55,10582.5,1.25,1.38,-0.11,-0.29
14/11/18,Wednesday,Crash,Crash,10634.9,10651.6,10532.7,10576.3,-0.55,0.16,-0.96,0.50
15/11/18,Thursday,Rally,Rally,10580.6,10646.5,10557.5,10616.7,0.34,0.62,-0.22,0.04
16/11/18,Friday,Choppy,Choppy,10644,10695.15,10631.15,10682.2,0.36,0.48,-0.12,0.26
19/11/18,Monday,Rally,Flat-Rally,10731.25,10774.7,10688.8,10763.4,0.30,0.40,-0.40,0.46
20/11/18,Tuesday,Crash,Crash,10740.1,10740.85,10640.85,10656.2,-0.78,0.01,-0.92,-0.22
21/11/18,Wednesday,Crash,Crash,10670.95,10671.3,10562.35,10600.05,-0.66,0.00,-1.02,0.14
22/11/18,Thursday,Crash,Crash,10612.65,10646.25,10512,10526.75,-0.81,0.32,-0.95,0.12
26/11/18,Monday,Crash-Rally,Crash-Rally,10568.3,10637.8,10489.75,10628.6,0.57,0.66,-0.74,0.39
27/11/18,Tuesday,Rally,Rally,10621.45,10695.15,10596.35,10685.6,0.60,0.69,-0.24,-0.07
28/11/18,Wednesday,Choppy,Choppy,10708.75,10757.8,10699.85,10728.85,0.19,0.46,-0.08,0.22
29/11/18,Thursday,Rally,Rally,10808.7,10883.05,10782.35,10858.7,0.46,0.69,-0.24,0.74
30/11/18,Friday,Crash,Crash,10892.1,10922.45,10835.1,10876.75,-0.14,0.28,-0.52,0.31
3/12/18,Monday,Crash,Crash,10930.7,10941.2,10845.35,10883.75,-0.43,0.10,-0.78,0.50
4/12/18,Tuesday,Choppy,Choppy,10877.1,10890.95,10833.35,10869.5,-0.07,0.13,-0.40,-0.06
5/12/18,Wednesday,Crash,Crash,10820.45,10821.05,10747.95,10782.9,-0.35,0.01,-0.67,-0.45
6/12/18,Thursday,Crash,Crash,10718.15,10722.65,10588.25,10601.15,-1.09,0.04,-1.21,-0.60
7/12/18,Friday,Rally,Flat-Rally,10644.8,10704.55,10599.35,10693.7,0.46,0.56,-0.43,0.41
10/12/18,Monday,Crash,Crash,10508.7,10558.85,10474.95,10488.45,-0.19,0.48,-0.32,-1.73
11/12/18,Tuesday,Rally,Rally,10350.05,10567.15,10333.85,10549.15,1.92,2.10,-0.16,-1.32
